issue_name,chatgpt,claude,claude_opus,copilot,gemini
python:S1192,1,16,37,8,7
Regular expressions should not be too complicated,9,5,1,3,8
Cognitive Complexity of functions should not be too high,0,21,0,1,3
Unused local variables should be removed,0,2,3,0,2
python:S3358,0,1,0,0,3
Functions and methods should not be empty,0,3,0,0,0
Cryptographic hashes should not be vulnerable,0,0,0,2,0
Nested blocks of code should not be left empty,0,2,0,0,0
Unused function parameters should be removed,1,0,1,0,0
All branches in a conditional structure should not have exactly the same implementation,0,1,0,0,0
Exception handlers should preserve original exceptions,0,0,1,0,0
Generic exceptions should never be raised,0,0,1,0,0
Regular expressions should not always fail,0,0,1,0,0
